"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "JSON", "Python", "Properties", "Markdown", "HTML", "YAML", "XML", "Batch", "Database", "Ini", "C++", "C", "reStructuredText", "PowerShell", "pip requirements", "Shell Script", "comment", "blank", "total"
"/Users/hawkpdx/Development/code/project-dev-resume/.history/__mocks__/fileMock_20250821141343.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/hawkpdx/Development/code/project-dev-resume/.history/babel.config_20250821142147.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/babel.config_20250821142151.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/hawkpdx/Development/code/project-dev-resume/.history/babel.config_20250821142256.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250820151841.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250820151847.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 36
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250821141045.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250822181619.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250822181642.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250827102955.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
