Date : 2025-08-27 21:20:44
Directory : /Users/hawkpdx/Development/code/project-dev-resume
Total : 1833 files,  432950 codes, 174622 comments, 83662 blanks, all 691234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250820152316.jsx                                                   | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250820152327.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823190909.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823190922.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823191013.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823191014.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201554.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201710.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201719.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201730.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201753.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827153702.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827153715.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827153730.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827153742.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827153759.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154056.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154110.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154117.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154128.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154146.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827154829.jsx                                                   | JavaScript JSX   |         52 |          0 |          8 |         60 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250827164452.jsx                                                   | JavaScript JSX   |         51 |          0 |          8 |         59 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820153106.jsx                                                 | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820153129.jsx                                                 | JavaScript JSX   |        105 |          1 |         11 |        117 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820160630.jsx                                                 | JavaScript JSX   |        176 |          0 |          1 |        177 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820161301.jsx                                                 | JavaScript JSX   |        177 |          0 |          1 |        178 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820161413.jsx                                                 | JavaScript JSX   |        105 |          1 |         11 |        117 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820183349.jsx                                                 | JavaScript JSX   |        104 |          2 |         11 |        117 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820183631.jsx                                                 | JavaScript JSX   |        104 |          2 |         11 |        117 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820185837.jsx                                                 | JavaScript JSX   |        126 |          2 |         15 |        143 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820185939.jsx                                                 | JavaScript JSX   |        126 |          2 |         15 |        143 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820190008.jsx                                                 | JavaScript JSX   |        127 |          2 |         15 |        144 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820190101.jsx                                                 | JavaScript JSX   |        123 |          2 |         14 |        139 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820190123.jsx                                                 | JavaScript JSX   |        126 |          2 |         15 |        143 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250820190146.jsx                                                 | JavaScript JSX   |        126 |          2 |         15 |        143 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250821141101.jsx                                                 | JavaScript JSX   |        127 |          2 |         15 |        144 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250821141126.jsx                                                 | JavaScript JSX   |        131 |          1 |         15 |        147 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250821141804.jsx                                                 | JavaScript JSX   |        132 |          1 |         15 |        148 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250821141825.jsx                                                 | JavaScript JSX   |        135 |          1 |         15 |        151 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250823190943.jsx                                                 | JavaScript JSX   |        135 |          1 |         15 |        151 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250823190958.jsx                                                 | JavaScript JSX   |        135 |          1 |         15 |        151 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250823191355.jsx                                                 | JavaScript JSX   |        135 |          1 |         15 |        151 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250823191414.jsx                                                 | JavaScript JSX   |        135 |          1 |         15 |        151 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Contact_20250827164636.jsx                                                 | JavaScript JSX   |        134 |          1 |         15 |        150 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/ErrorBoundary_20250820185642.jsx                                           | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/ErrorBoundary_20250820185726.jsx                                           | JavaScript JSX   |         25 |          0 |          7 |         32 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Experience_20250820152356.jsx                                              | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Experience_20250820153036.jsx                                              | JavaScript JSX   |        375 |          0 |          1 |        376 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Experience_20250820153100.jsx                                              | JavaScript JSX   |         61 |          0 |          9 |         70 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Experience_20250827164809.jsx                                              | JavaScript JSX   |         60 |          0 |          9 |         69 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250820153132.jsx                                                  | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250820153140.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250823191429.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250823191433.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250823191437.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250823191439.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250823191714.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Footer_20250827164706.jsx                                                  | JavaScript JSX   |         40 |          0 |          4 |         44 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250820152243.jsx                                                    | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250820152310.jsx                                                    | JavaScript JSX   |         56 |          0 |          7 |         63 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250821151855.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823190658.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823190733.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823191811.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823191831.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823191835.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200613.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200626.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200637.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200644.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200656.jsx                                                    | JavaScript JSX   |        103 |          0 |          5 |        108 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200817.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200823.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Hero_20250823200840.jsx                                                    | JavaScript JSX   |        102 |          0 |          5 |        107 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250820152203.jsx                                                  | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250820152218.jsx                                                  | JavaScript JSX   |         75 |          0 |          8 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250820152226.jsx                                                  | JavaScript JSX   |         75 |          0 |          8 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250820152231.jsx                                                  | JavaScript JSX   |         76 |          0 |          8 |         84 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250820152242.jsx                                                  | JavaScript JSX   |         65 |          0 |          8 |         73 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250821151509.jsx                                                  | JavaScript JSX   |        106 |          0 |          8 |        114 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250821151632.jsx                                                  | JavaScript JSX   |        120 |          0 |         11 |        131 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827161923.jsx                                                  | JavaScript JSX   |        119 |          1 |         11 |        131 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827161942.jsx                                                  | JavaScript JSX   |        120 |          0 |         11 |        131 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827164425.jsx                                                  | JavaScript JSX   |        120 |          0 |         11 |        131 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827165145.jsx                                                  | JavaScript JSX   |        121 |          0 |         11 |        132 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827165218.jsx                                                  | JavaScript JSX   |        120 |          0 |         11 |        131 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827192956.jsx                                                  | JavaScript JSX   |        121 |          0 |         11 |        132 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827193003.jsx                                                  | JavaScript JSX   |        121 |          0 |         11 |        132 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Navbar_20250827193010.jsx                                                  | JavaScript JSX   |        121 |          0 |         11 |        132 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250820152329.jsx                                                | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250820152343.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180219.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180327.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180401.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180412.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180419.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180430.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180438.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180446.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180455.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180504.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180526.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180551.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180615.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180635.jsx                                                | JavaScript JSX   |         73 |          0 |          9 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180656.jsx                                                | JavaScript JSX   |         72 |          0 |          9 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822180803.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250822181551.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250823181948.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250823181958.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250823182328.jsx                                                | JavaScript JSX   |         71 |          0 |         10 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250823191234.jsx                                                | JavaScript JSX   |         71 |          0 |         10 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827110513.jsx                                                | JavaScript JSX   |         72 |          0 |         10 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827110554.jsx                                                | JavaScript JSX   |         72 |          1 |         10 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827110627.jsx                                                | JavaScript JSX   |         71 |          1 |         10 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827110737.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827110823.jsx                                                | JavaScript JSX   |         71 |          0 |          9 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115043.jsx                                                | JavaScript JSX   |         74 |          0 |          9 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115104.jsx                                                | JavaScript JSX   |         74 |          0 |          9 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115157.jsx                                                | JavaScript JSX   |         74 |          0 |         10 |         84 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115258.jsx                                                | JavaScript JSX   |         75 |          0 |         10 |         85 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115444.jsx                                                | JavaScript JSX   |         76 |          0 |         10 |         86 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115533.jsx                                                | JavaScript JSX   |         78 |          0 |         11 |         89 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115611.jsx                                                | JavaScript JSX   |         77 |          0 |         11 |         88 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827115853.jsx                                                | JavaScript JSX   |         76 |          0 |         11 |         87 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827131042.jsx                                                | JavaScript JSX   |         76 |          0 |         11 |         87 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827134639.jsx                                                | JavaScript JSX   |         76 |          0 |         11 |         87 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827134654.jsx                                                | JavaScript JSX   |         76 |          0 |         11 |         87 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827164514.jsx                                                | JavaScript JSX   |         75 |          0 |         11 |         86 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827192322.jsx                                                | JavaScript JSX   |         74 |          0 |         11 |         85 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827192421.jsx                                                | JavaScript JSX   |         75 |          0 |         11 |         86 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Projects_20250827192434.jsx                                                | JavaScript JSX   |         75 |          0 |         11 |         86 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Skills_20250820152346.jsx                                                  | JavaScript JSX   |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Skills_20250820152355.jsx                                                  | JavaScript JSX   |         46 |          0 |          7 |         53 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Skills_20250823191241.jsx                                                  | JavaScript JSX   |         46 |          0 |          7 |         53 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/Skills_20250827164546.jsx                                                  | JavaScript JSX   |         44 |          0 |          7 |         51 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/hooks/useData_20250820152145.js                                                       | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/hooks/useData_20250820152201.js                                                       | JavaScript       |         78 |          0 |         17 |         95 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250820151008.css                                                              | PostCSS          |         61 |          0 |          8 |         69 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250823191121.css                                                              | PostCSS          |         62 |          0 |          8 |         70 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250823191147.css                                                              | PostCSS          |         61 |          0 |          9 |         70 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250823191148.css                                                              | PostCSS          |         61 |          0 |          9 |         70 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827154445.css                                                              | PostCSS          |         63 |          0 |          9 |         72 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827154751.css                                                              | PostCSS          |         64 |          0 |          9 |         73 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827154803.css                                                              | PostCSS          |         65 |          0 |          9 |         74 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827154900.css                                                              | PostCSS          |         65 |          0 |          9 |         74 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827154907.css                                                              | PostCSS          |         65 |          0 |          9 |         74 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827155017.css                                                              | PostCSS          |         65 |          0 |          9 |         74 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827155031.css                                                              | PostCSS          |         64 |          0 |         10 |         74 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827155045.css                                                              | PostCSS          |         64 |          0 |          9 |         73 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827161649.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827161713.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827161716.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162004.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162026.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162124.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162146.css                                                              | PostCSS          |         67 |          0 |          9 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162221.css                                                              | PostCSS          |         68 |          0 |          9 |         77 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162307.css                                                              | PostCSS          |         68 |          0 |          9 |         77 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162317.css                                                              | PostCSS          |         68 |          0 |          9 |         77 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162320.css                                                              | PostCSS          |         68 |          0 |          9 |         77 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162401.css                                                              | PostCSS          |         66 |          0 |         10 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162531.css                                                              | PostCSS          |         66 |          0 |         10 |         76 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162604.css                                                              | PostCSS          |         66 |          0 |         14 |         80 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162634.css                                                              | PostCSS          |         67 |          0 |         14 |         81 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827162935.css                                                              | PostCSS          |         71 |          0 |         15 |         86 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/index_20250827164432.css                                                              | PostCSS          |         69 |          0 |         13 |         82 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/services/api_20250820152127.js                                                        | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/services/api_20250820152141.js                                                        | JavaScript       |         19 |          0 |          7 |         26 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/services/api_20250820185639.js                                                        | JavaScript       |         39 |          5 |          9 |         53 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/services/api_20250821141054.js                                                        | JavaScript       |         42 |          5 |         10 |         57 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/services/api_20250827103103.js                                                        | JavaScript       |         42 |          5 |         10 |         57 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/setupTests_20250821141215.js                                                          | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/setupTests_20250821141223.js                                                          | JavaScript       |         17 |          2 |          4 |         23 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/styles_20250821151228.css                                                             | PostCSS          |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/styles_20250821151321.css                                                             | PostCSS          |        162 |         11 |         31 |        204 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/__tests__/validation.test_20250821141346.js                                     | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/__tests__/validation.test_20250821141359.js                                     | JavaScript       |         70 |          0 |         13 |         83 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/analytics_20250821141610.js                                                     | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/analytics_20250821141632.js                                                     | JavaScript       |         45 |         11 |         12 |         68 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/validation_20250820185728.js                                                    | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/src/utils/validation_20250820185815.js                                                    | JavaScript       |         24 |          0 |          7 |         31 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/test_backend_connectivity_20250827103116.py                                               | Python           |          0 |          0 |          1 |          1 |
| /Users/hawkpdx/Development/code/project-dev-resume/.history/test_backend_connectivity_20250827103416.py                                               | Python           |         39 |          5 |         13 |         57 |
